industry,change_people,change_pct,change_direction,change_pct_label
Other Services,41266,7.9,Increase,+7.9%
"Professional, Scientific and Technical Services",87397,6.7,Increase,+6.7%
Health Care and Social Assistance,117749,5.2,Increase,+5.2%
Public Administration and Safety,44656,4.7,Increase,+4.7%
Education and Training,41994,3.4,Increase,+3.4%
"Transport, Postal and Warehousing",12605,1.7,Increase,+1.7%
Retail Trade,8067,0.6,Increase,+0.6%
Construction,1619,0.1,Increase,+0.1%
Accommodation and Food Services,-4456,-0.5,Decrease,-0.5%
Manufacturing,-28494,-3.2,Decrease,-3.2%
