industry,job_vacancies,employed_people,vacancies_per_1000_employed,relative_to_all_industries
Administrative and Support Services,27400,433003,63.28,Above all-industries benchmark
Accommodation and Food Services,37700,950351,39.67,Above all-industries benchmark
Wholesale Trade,11700,335825,34.84,Above all-industries benchmark
Mining,8600,282235,30.47,Above all-industries benchmark
Manufacturing,21500,844743,25.45,Above all-industries benchmark
"Professional, Scientific and Technical Services",34300,1379433,24.87,Above all-industries benchmark
"Rental, Hiring and Real Estate Services",5400,222416,24.28,Above all-industries benchmark
Health Care and Social Assistance,55300,2360821,23.42,Above all-industries benchmark
Retail Trade,28700,1315720,21.81,Below all-industries benchmark
Public Administration and Safety,21300,996321,21.38,Below all-industries benchmark
Financial and Insurance Services,10500,535747,19.6,Below all-industries benchmark
Information Media and Telecommunications,3500,185209,18.9,Below all-industries benchmark
Arts and Recreation Services,4500,258228,17.43,Below all-industries benchmark
Other Services,9400,563082,16.69,Below all-industries benchmark
"Electricity, Gas, Water and Waste Services",3300,216923,15.21,Below all-industries benchmark
Construction,19500,1323380,14.73,Below all-industries benchmark
"Transport, Postal and Warehousing",10500,725838,14.47,Below all-industries benchmark
Education and Training,12900,1316589,9.8,Below all-industries benchmark
