date,quarter,unemployment_rate,unemployed_persons,labour_force
2010-12-01,Dec-10,5.17,491131,9504306
2011-03-01,Mar-11,5.08,484918,9541674
2011-06-01,Jun-11,5.01,479482,9573457
2011-09-01,Sep-11,5.03,483222,9600776
2011-12-01,Dec-11,5.05,485154,9615129
2012-03-01,Mar-12,5.08,489805,9634029
2012-06-01,Jun-12,5.12,494293,9661183
2012-09-01,Sep-12,5.15,498616,9684466
2012-12-01,Dec-12,5.21,506112,9711317
2013-03-01,Mar-13,5.32,518143,9742294
2013-06-01,Jun-13,5.46,533321,9774074
2013-09-01,Sep-13,5.56,544428,9793262
2013-12-01,Dec-13,5.66,554926,9803260
2014-03-01,Mar-14,5.78,567324,9815562
2014-06-01,Jun-14,5.86,575698,9824965
2014-09-01,Sep-14,5.98,589110,9845380
2014-12-01,Dec-14,6.09,601433,9869245
2015-03-01,Mar-15,6.15,609447,9902778
2015-06-01,Jun-15,6.17,612778,9932256
2015-09-01,Sep-15,6.19,616888,9961853
2015-12-01,Dec-15,6.1,610398,10007771
2016-03-01,Mar-16,5.99,601507,10038873
2016-06-01,Jun-16,5.92,595885,10066560
2016-09-01,Sep-16,5.79,584178,10081446
2016-12-01,Dec-16,5.76,581024,10084267
2017-03-01,Mar-17,5.77,581852,10091219
2017-06-01,Jun-17,5.74,581214,10119774
2017-09-01,Sep-17,5.71,580335,10167012
2017-12-01,Dec-17,5.65,578055,10228770
2018-03-01,Mar-18,5.6,576577,10294893
2018-06-01,Jun-18,5.57,576722,10349307
2018-09-01,Sep-18,5.5,572070,10393578
2018-12-01,Dec-18,5.41,563690,10428357
2019-03-01,Mar-19,5.28,552669,10463423
2019-06-01,Jun-19,5.23,549387,10510433
2019-09-01,Sep-19,5.25,554227,10563882
2019-12-01,Dec-19,5.27,558903,10608096
2020-03-01,Mar-20,5.3,608280,11484854
2020-06-01,Jun-20,5.68,647677,11398429
2020-09-01,Sep-20,6.1,692462,11360260
2020-12-01,Dec-20,6.45,733026,11367527
2021-03-01,Mar-21,6.63,754598,11380578
2021-06-01,Jun-21,6.22,715104,11505202
2021-09-01,Sep-21,5.64,650481,11536741
2021-12-01,Dec-21,5.14,593222,11545834
2022-03-01,Mar-22,4.64,537257,11579032
2022-06-01,Jun-22,4.3,500111,11634855
2022-09-01,Sep-22,4.02,472401,11736874
2022-12-01,Dec-22,3.76,445440,11844947
2023-03-01,Mar-23,3.65,436054,11932938
2023-06-01,Jun-23,3.59,431578,12021687
2023-09-01,Sep-23,3.62,437976,12107152
2023-12-01,Dec-23,3.7,451684,12196370
2024-03-01,Mar-24,3.78,463350,12271712
2024-06-01,Jun-24,3.87,571953,14764164
2024-09-01,Sep-24,3.99,592769,14868400
2024-12-01,Dec-24,4.01,599920,14952319
2025-03-01,Mar-25,4.06,610887,15040677
2025-06-01,Jun-25,4.09,618798,15123315
2025-09-01,Sep-25,4.14,628411,15181750
2025-12-01,Dec-25,4.2,639353,15236561
