industry,metric,rank,actual_value,earnings_rank,vacancy_pressure_rank,workforce_size_rank,median_weekly_full_time_earnings,vacancies_per_1000_employed,employed_people
Health Care and Social Assistance,Median Weekly Earnings,4,1689.0,4,4,1,1689.0,23.42,2365707
Health Care and Social Assistance,Vacancy Pressure,4,23.42,4,4,1,1689.0,23.42,2365707
Health Care and Social Assistance,Workforce Size,1,2365707.0,4,4,1,1689.0,23.42,2365707
"Professional, Scientific and Technical Services",Median Weekly Earnings,1,2071.0,1,3,2,2071.0,24.87,1396524
"Professional, Scientific and Technical Services",Vacancy Pressure,3,24.87,1,3,2,2071.0,24.87,1396524
"Professional, Scientific and Technical Services",Workforce Size,2,1396524.0,1,3,2,2071.0,24.87,1396524
Construction,Median Weekly Earnings,7,1600.0,7,8,3,1600.0,14.73,1345355
Construction,Vacancy Pressure,8,14.73,7,8,3,1600.0,14.73,1345355
Construction,Workforce Size,3,1345355.0,7,8,3,1600.0,14.73,1345355
Retail Trade,Median Weekly Earnings,9,1300.0,9,5,4,1300.0,21.81,1341847
Retail Trade,Vacancy Pressure,5,21.81,9,5,4,1300.0,21.81,1341847
Retail Trade,Workforce Size,4,1341847.0,9,5,4,1300.0,21.81,1341847
Education and Training,Median Weekly Earnings,3,1903.0,3,10,5,1903.0,9.8,1289092
Education and Training,Vacancy Pressure,10,9.8,3,10,5,1903.0,9.8,1289092
Education and Training,Workforce Size,5,1289092.0,3,10,5,1903.0,9.8,1289092
Public Administration and Safety,Median Weekly Earnings,2,1913.0,2,6,6,1913.0,21.38,1004945
Public Administration and Safety,Vacancy Pressure,6,21.38,2,6,6,1913.0,21.38,1004945
Public Administration and Safety,Workforce Size,6,1004945.0,2,6,6,1913.0,21.38,1004945
Accommodation and Food Services,Median Weekly Earnings,9,1300.0,9,1,7,1300.0,39.67,956851
Accommodation and Food Services,Vacancy Pressure,1,39.67,9,1,7,1300.0,39.67,956851
Accommodation and Food Services,Workforce Size,7,956851.0,9,1,7,1300.0,39.67,956851
Manufacturing,Median Weekly Earnings,5,1654.0,5,2,8,1654.0,25.45,862125
Manufacturing,Vacancy Pressure,2,25.45,5,2,8,1654.0,25.45,862125
Manufacturing,Workforce Size,8,862125.0,5,2,8,1654.0,25.45,862125
"Transport, Postal and Warehousing",Median Weekly Earnings,6,1608.0,6,9,9,1608.0,14.47,742138
"Transport, Postal and Warehousing",Vacancy Pressure,9,14.47,6,9,9,1608.0,14.47,742138
"Transport, Postal and Warehousing",Workforce Size,9,742138.0,6,9,9,1608.0,14.47,742138
Other Services,Median Weekly Earnings,8,1400.0,8,7,10,1400.0,16.69,565968
Other Services,Vacancy Pressure,7,16.69,8,7,10,1400.0,16.69,565968
Other Services,Workforce Size,10,565968.0,8,7,10,1400.0,16.69,565968
