qualification_group,labour_force_status,percentage
Bachelor Degree,Employed Full-time,61.0
Bachelor Degree,Employed Part-time,21.5
Bachelor Degree,Unemployed,2.1
Bachelor Degree,Not in Labour Force,15.5
Certificate III/IV,Employed Full-time,57.8
Certificate III/IV,Employed Part-time,19.3
Certificate III/IV,Unemployed,2.6
Certificate III/IV,Not in Labour Force,20.2
Without a Non-school Qualification,Employed Full-time,33.0
Without a Non-school Qualification,Employed Part-time,24.7
Without a Non-school Qualification,Unemployed,4.2
Without a Non-school Qualification,Not in Labour Force,38.1
