sa2_name,state,state_short,unemployment_rate,labour_force,group,label
Halls Creek,Western Australia,WA,27.8,1383,Highest 10,Halls Creek (WA)
Derby - West Kimberley,Western Australia,WA,24.7,2988,Highest 10,Derby - West Kimberley (WA)
Elizabeth,South Australia,SA,22.2,3874,Highest 10,Elizabeth (SA)
East Arnhem,Northern Territory,NT,21.2,2450,Highest 10,East Arnhem (NT)
Norlane,Victoria,Vic,20.3,3877,Highest 10,Norlane (Vic)
Port Kembla - Warrawong,New South Wales,NSW,20.1,4110,Highest 10,Port Kembla - Warrawong (NSW)
Torres Strait Islands,Queensland,Qld,18.7,1316,Highest 10,Torres Strait Islands (Qld)
Bridgewater - Gagebrook,Tasmania,Tas,18.6,3357,Highest 10,Bridgewater - Gagebrook (Tas)
Southern Moreton Bay Islands,Queensland,Qld,17.8,3433,Highest 10,Southern Moreton Bay Islands (Qld)
Bidwill - Hebersham - Emerton,New South Wales,NSW,17.7,7750,Highest 10,Bidwill - Hebersham - Emerton (NSW)
Irymple,Victoria,Vic,0.7,4542,Lowest 10,Irymple (Vic)
Mount Johns,Northern Territory,NT,0.7,4139,Lowest 10,Mount Johns (NT)
Forrest,Australian Capital Territory,ACT,0.7,1205,Lowest 10,Forrest (ACT)
Kingston (ACT),Australian Capital Territory,ACT,0.7,5637,Lowest 10,Kingston (ACT)
Larrakeyah,Northern Territory,NT,0.6,3165,Lowest 10,Larrakeyah (NT)
Lyons (NT),Northern Territory,NT,0.6,4193,Lowest 10,Lyons (NT)
Nhulunbuy,Northern Territory,NT,0.6,3031,Lowest 10,Nhulunbuy (NT)
Barton,Australian Capital Territory,ACT,0.4,1461,Lowest 10,Barton (ACT)
Googong,New South Wales,NSW,0.3,5121,Lowest 10,Googong (NSW)
Duntroon,Australian Capital Territory,ACT,0.0,1967,Lowest 10,Duntroon (ACT)
