state,sa2_code,sa2_name,unemployment_rate,unemployed_persons,labour_force
New South Wales,101021007,Braidwood,2.5,57,2318
New South Wales,101021008,Karabar,2.8,131,4745
New South Wales,101021009,Queanbeyan,2.0,137,6827
New South Wales,101021010,Queanbeyan - East,1.7,53,3156
New South Wales,101021012,Queanbeyan West - Jerrabomberra,0.8,61,7755
New South Wales,101021610,Googong,0.3,17,5121
New South Wales,101021611,Queanbeyan Surrounds,0.7,77,10295
New South Wales,101031013,Bombala,3.0,37,1254
New South Wales,101031014,Cooma,2.7,87,3237
New South Wales,101031015,Cooma Surrounds,1.5,30,2008
New South Wales,101031016,Jindabyne - Berridale,0.9,49,5592
New South Wales,101041017,Batemans Bay,5.9,204,3478
New South Wales,101041018,Batemans Bay - South,3.8,141,3693
New South Wales,101041019,Bega - Tathra,3.8,162,4250
New South Wales,101041020,Bega-Eden Hinterland,3.1,150,4802
New South Wales,101041021,Broulee - Tomakin,2.1,37,1724
New South Wales,101041023,Eden,6.4,90,1415
New South Wales,101041024,Eurobodalla Hinterland,4.7,83,1769
New South Wales,101041025,Merimbula - Tura Beach,2.3,119,5204
New South Wales,101041026,Moruya - Tuross Head,3.8,141,3693
New South Wales,101041027,Narooma - Bermagui,4.2,160,3825
New South Wales,101051539,Goulburn,3.8,463,12275
New South Wales,101051540,Goulburn Surrounds,2.1,157,7431
New South Wales,101061541,Yass,1.9,67,3487
New South Wales,101061542,Yass Surrounds,0.8,64,7686
New South Wales,101061543,Young,4.0,202,5005
New South Wales,101061544,Young Surrounds,2.8,104,3682
New South Wales,102011028,Avoca Beach - Copacabana,1.1,47,4218
New South Wales,102011029,Box Head - MacMasters Beach,1.3,71,5583
New South Wales,102011030,Calga - Kulnura,2.2,60,2718
New South Wales,102011031,Erina - Green Point,1.8,121,6897
New South Wales,102011032,Gosford - Springfield,3.6,459,12894
New South Wales,102011033,Kariong,2.3,86,3820
New South Wales,102011034,Kincumber - Picketts Valley,2.3,79,3475
New South Wales,102011035,Narara,2.9,117,4105
New South Wales,102011036,Niagara Park - Lisarow,1.8,81,4560
New South Wales,102011037,Point Clare - Koolewong,2.1,73,3460
New South Wales,102011038,Saratoga - Davistown,1.3,50,3928
New South Wales,102011039,Terrigal - North Avoca,1.3,112,8542
New South Wales,102011040,Umina - Booker Bay - Patonga,4.2,494,11795
New South Wales,102011041,Wamberal - Forresters Beach,1.4,82,5965
New South Wales,102011042,Woy Woy - Blackwall,5.1,342,6748
New South Wales,102011043,Wyoming,4.2,239,5633
New South Wales,102021044,Bateau Bay - Killarney Vale,3.4,400,11600
New South Wales,102021045,Blue Haven - San Remo,5.8,341,5861
New South Wales,102021046,Budgewoi - Buff Point - Halekulani,4.7,219,4641
New South Wales,102021047,Chittaway Bay - Tumbi Umbi,2.5,214,8729
New South Wales,102021048,Gorokan - Kanwal - Charmhaven,5.8,628,10836
New South Wales,102021049,Jilliby - Yarramalong,3.2,68,2133
New South Wales,102021050,Lake Munmorah - Mannering Park,4.2,197,4742
New South Wales,102021051,Ourimbah - Fountaindale,2.1,60,2911
New South Wales,102021052,Summerland Point - Gwandalan,3.1,106,3371
New South Wales,102021053,The Entrance,5.6,440,7839
New South Wales,102021054,Toukley - Norah Head,5.4,241,4447
New South Wales,102021055,Tuggerah - Kangy Angy,2.6,76,2936
New South Wales,102021056,Warnervale - Wadalba,2.9,345,12105
New South Wales,102021057,Wyong,8.1,357,4385
New South Wales,103011059,Bathurst - East,2.8,203,7357
New South Wales,103011060,Bathurst Surrounds,1.5,60,4065
New South Wales,103011061,Oberon,1.8,48,2619
New South Wales,103011612,Bathurst - South,4.7,253,5440
New South Wales,103011613,Bathurst - West,2.4,208,8502
New South Wales,103021062,Condobolin,4.7,158,3358
New South Wales,103021063,Cowra,5.5,243,4412
New South Wales,103021064,Cowra Surrounds,3.4,101,2994
New South Wales,103021065,Forbes,3.3,178,5358
New South Wales,103021066,Grenfell,3.0,54,1790
New South Wales,103021067,Parkes (NSW),4.1,241,5851
New South Wales,103021068,Parkes Surrounds,5.7,91,1600
New South Wales,103021069,West Wyalong,2.3,70,3008
New South Wales,103031070,Lithgow,6.3,354,5590
New South Wales,103031071,Lithgow Surrounds,3.1,142,4558
New South Wales,103031072,Mudgee,2.9,206,7024
New South Wales,103031073,Mudgee Surrounds - East,6.4,93,1464
New South Wales,103031074,Mudgee Surrounds - West,2.7,165,6164
New South Wales,103041076,Blayney,2.7,118,4323
New South Wales,103041077,Orange,4.6,457,9941
New South Wales,103041078,Orange - North,2.1,293,13931
New South Wales,103041079,Orange Surrounds,1.5,105,7117
New South Wales,104011080,Grafton,6.9,557,8121
New South Wales,104011081,Grafton Surrounds,4.3,312,7199
New South Wales,104011082,Maclean - Yamba - Iluka,3.5,244,6875
New South Wales,104021083,Bellingen,5.1,147,2900
New South Wales,104021084,Coffs Harbour - North,5.1,430,8468
New South Wales,104021085,Coffs Harbour - South,6.1,314,5164
New South Wales,104021086,Coramba - Nana Glen - Bucca,2.8,58,2070
New South Wales,104021087,Dorrigo,4.7,65,1383
New South Wales,104021088,Korora - Emerald Beach,1.8,99,5415
New South Wales,104021089,Sawtell - Boambee,3.3,306,9409
New South Wales,104021090,Urunga,3.6,76,2091
New South Wales,104021091,Woolgoolga - Arrawarra,3.2,221,6932
New South Wales,105011092,Bourke - Brewarrina,7.7,123,1588
New South Wales,105011093,Cobar,2.1,43,2035
New South Wales,105011094,Coonamble,4.9,84,1723
New South Wales,105011095,Nyngan - Warren,3.1,66,2160
New South Wales,105011096,Walgett - Lightning Ridge,8.0,191,2377
New South Wales,105021097,Broken Hill,3.6,269,7558
New South Wales,105021098,Far West,6.8,66,964
New South Wales,105031099,Coonabarabran,3.6,119,3344
New South Wales,105031100,Dubbo - East,2.6,138,5341
New South Wales,105031101,Dubbo - South,1.9,192,10375
New South Wales,105031102,Dubbo - West,3.4,179,5280
New South Wales,105031103,Dubbo Surrounds,0.8,25,3284
New South Wales,105031104,Gilgandra,2.6,53,2015
New South Wales,105031105,Narromine,2.9,88,3024
New South Wales,105031106,Wellington,3.6,126,3485
New South Wales,106011107,Branxton - Greta - Pokolbin,2.3,186,8169
New South Wales,106011108,Cessnock,8.3,800,9694
New South Wales,106011109,Cessnock Surrounds,3.3,157,4802
New South Wales,106011110,Dungog,3.4,165,4813
New South Wales,106011111,Kurri Kurri - Abermain,5.4,579,10727
New South Wales,106011112,Singleton,3.7,337,9106
New South Wales,106011113,Singleton Surrounds,2.3,67,2911
New South Wales,106021114,Maitland,4.5,222,4916
New South Wales,106021116,Maitland - North,1.5,74,4805
New South Wales,106021614,East Maitland - Metford,3.8,354,9263
New South Wales,106021615,Rutherford (North) - Aberglasslyn,3.5,333,9425
New South Wales,106021616,Rutherford (South) - Telarah,6.5,288,4448
New South Wales,106021617,Tenambit - East Maitland,4.0,197,4949
New South Wales,106021618,Thornton - Millers Forest,2.0,208,10395
New South Wales,106031119,Anna Bay,2.8,83,2940
New South Wales,106031120,Lemon Tree Passage - Tanilba Bay,5.2,145,2768
New South Wales,106031121,Nelson Bay Peninsula,3.8,342,9074
New South Wales,106031122,Raymond Terrace,9.1,634,6957
New South Wales,106031123,Seaham - Woodville,1.6,51,3203
New South Wales,106031124,Tea Gardens - Hawks Nest,3.6,63,1761
New South Wales,106031125,Williamtown - Medowie - Karuah,3.2,260,8114
New South Wales,106041126,Muswellbrook,7.3,433,5945
New South Wales,106041127,Muswellbrook Surrounds,2.4,55,2303
New South Wales,106041128,Scone,2.2,68,3091
New South Wales,106041129,Scone Surrounds,3.4,145,4253
New South Wales,107011131,Dapto - Avondale,8.8,1074,12238
New South Wales,107011132,Horsley - Kembla Grange,2.8,232,8245
New South Wales,107011134,Unanderra - Mount Kembla,6.1,491,8086
New South Wales,107011545,Berkeley - Lake Heights - Cringila,14.5,920,6330
New South Wales,107011546,Port Kembla - Warrawong,20.1,825,4110
New South Wales,107011547,Windang - Primbee,9.9,182,1845
New South Wales,107031136,Albion Park - Macquarie Pass,3.3,431,13173
New South Wales,107031137,Albion Park Rail,10.1,341,3365
New South Wales,107031138,Kiama,2.6,111,4329
New South Wales,107031139,Kiama Downs - Minnamurra,2.3,72,3180
New South Wales,107031140,Kiama Hinterland - Gerringong,2.0,89,4357
New South Wales,107031141,Shellharbour - Flinders,3.7,436,11638
New South Wales,107031142,Shellharbour - Oak Flats,6.9,389,5655
New South Wales,107031143,Warilla,14.4,1339,9279
New South Wales,107041144,Balgownie - Fairy Meadow,4.9,578,11785
New South Wales,107041145,Corrimal - Tarrawanna - Bellambi,7.6,648,8492
New South Wales,107041146,Figtree - Keiraville,4.5,599,13169
New South Wales,107041147,Helensburgh,2.5,131,5346
New South Wales,107041148,Thirroul - Austinmer - Coalcliff,2.5,168,6752
New South Wales,107041150,Woonona - Bulli - Russell Vale,3.8,420,11148
New South Wales,107041548,Wollongong - East,6.3,700,11127
New South Wales,107041549,Wollongong - West,8.1,824,10162
New South Wales,108011151,Bulahdelah - Stroud,3.6,93,2594
New South Wales,108011152,Forster,4.4,265,6052
New South Wales,108011153,Forster-Tuncurry Surrounds,3.8,123,3214
New South Wales,108011154,Tuncurry,5.4,125,2305
New South Wales,108021155,Kempsey,7.6,496,6487
New South Wales,108021156,Kempsey Surrounds,4.4,199,4558
New South Wales,108021157,Macksville - Scotts Head,4.7,102,2174
New South Wales,108021158,Nambucca Heads,8.0,211,2654
New South Wales,108021159,Nambucca Heads Surrounds,4.7,190,4008
New South Wales,108021160,South West Rocks,3.8,88,2313
New South Wales,108031161,Lord Howe Island,0.7,2,283
New South Wales,108041162,Laurieton - Bonny Hills,2.9,227,7845
New South Wales,108041164,Port Macquarie - West,3.3,367,11094
New South Wales,108041165,Port Macquarie Surrounds,2.8,80,2812
New South Wales,108041166,Wauchope,3.4,227,6596
New South Wales,108041619,Port Macquarie - East,3.0,190,6432
New South Wales,108041620,Port Macquarie - South,2.1,171,8254
New South Wales,108051167,Gloucester,3.5,83,2383
New South Wales,108051168,Old Bar - Manning Point - Red Head,2.8,163,5892
New South Wales,108051169,Taree,7.7,696,9082
New South Wales,108051170,Taree Surrounds,3.8,219,5783
New South Wales,108051171,Wingham,5.2,126,2414
New South Wales,109011172,Albury - East,2.2,270,12160
New South Wales,109011173,Albury - North,6.1,365,6013
New South Wales,109011174,Albury - South,6.1,363,5994
New South Wales,109011175,Albury Surrounds,2.4,177,7489
New South Wales,109011176,Lavington,7.0,584,8378
New South Wales,109021177,Hay,3.9,66,1686
New South Wales,109021178,Wentworth - Buronga,5.3,196,3695
New South Wales,109021179,Wentworth-Balranald Region,2.3,53,2266
New South Wales,109031180,Corowa,3.7,106,2849
New South Wales,109031181,Corowa Surrounds,3.1,124,3992
New South Wales,109031182,Deniliquin,5.0,196,3884
New South Wales,109031183,Deniliquin Surrounds,2.7,106,3990
New South Wales,109031184,Moama,2.0,81,4007
New South Wales,109031185,Tocumwal - Finley - Jerilderie,3.6,183,5142
New South Wales,110011186,Armidale,3.4,471,13795
New South Wales,110011187,Armidale Surrounds - North,1.8,51,2827
New South Wales,110011188,Armidale Surrounds - South,1.4,48,3381
New South Wales,110011189,Walcha,1.9,34,1819
New South Wales,110021190,Glen Innes,4.0,176,4415
New South Wales,110021191,Inverell,3.3,207,6290
New South Wales,110021192,Inverell Surrounds - East,3.8,96,2554
New South Wales,110021193,Inverell Surrounds - West,2.3,67,2950
New South Wales,110021194,Tenterfield,4.4,144,3301
New South Wales,110031195,Moree,4.4,205,4637
New South Wales,110031196,Moree Surrounds,2.3,74,3281
New South Wales,110031197,Narrabri,2.6,106,4108
New South Wales,110031198,Narrabri Surrounds,2.3,64,2785
New South Wales,110041199,Gunnedah,2.2,124,5591
New South Wales,110041200,Gunnedah Surrounds,1.7,48,2794
New South Wales,110041201,Quirindi,2.8,116,4144
New South Wales,110041202,Tamworth - East,2.8,363,12977
New South Wales,110041203,Tamworth - North,2.1,203,9537
New South Wales,110041204,Tamworth - West,7.0,227,3231
New South Wales,110041205,Tamworth Surrounds,1.6,181,11420
New South Wales,111011206,Belmont - Bennetts Green,4.1,384,9267
New South Wales,111011207,Belmont South - Blacksmiths,5.3,150,2826
New South Wales,111011208,Charlestown - Dudley,3.8,544,14400
New South Wales,111011209,Glendale - Cardiff - Hillsborough,3.9,555,14326
New South Wales,111011210,Mount Hutton - Windale,9.4,417,4435
New South Wales,111011211,Redhead,1.8,36,1946
New South Wales,111011212,Swansea - Caves Beach,3.7,227,6209
New South Wales,111011213,Valentine - Eleebana,1.4,92,6779
New South Wales,111011214,Warners Bay - Boolaroo,2.8,233,8280
New South Wales,111021215,Bolton Point - Teralba,5.9,309,5213
New South Wales,111021216,Bonnells Bay - Silverwater,5.2,261,5031
New South Wales,111021217,Edgeworth - Cameron Park,3.5,360,10359
New South Wales,111021218,Morisset - Cooranbong,4.7,435,9329
New South Wales,111021219,Toronto - Awaba,6.2,408,6585
New South Wales,111021220,Wangi Wangi - Rathmines,3.9,185,4803
New South Wales,111021221,West Wallsend - Barnsley - Killingworth,3.3,140,4215
New South Wales,111031222,Adamstown - Kotara,3.1,315,10197
New South Wales,111031223,Beresfield - Hexham,9.8,414,4238
New South Wales,111031224,Hamilton - Broadmeadow,5.5,431,7837
New South Wales,111031225,Lambton - New Lambton,2.7,278,10299
New South Wales,111031226,Maryland - Fletcher - Minmi,3.1,320,10329
New South Wales,111031227,Mayfield - Warabrook,6.1,560,9203
New South Wales,111031228,Merewether - The Junction,1.9,170,9143
New South Wales,111031229,Newcastle - Cooks Hill,3.9,379,9787
New South Wales,111031231,Shortland - Jesmond,7.3,585,8066
New South Wales,111031232,Stockton - Fullerton Cove,3.6,163,4509
New South Wales,111031233,Wallsend - Elermore Vale,5.8,668,11547
New South Wales,111031234,Waratah - North Lambton,4.7,362,7779
New South Wales,111031235,Wickham - Carrington - Tighes Hill,3.8,262,6871
New South Wales,112011236,Ballina,4.0,328,8145
New South Wales,112011237,Ballina Surrounds,2.5,240,9727
New South Wales,112011238,Bangalow,2.5,102,4055
New South Wales,112011239,Brunswick Heads - Ocean Shores,4.0,196,4944
New South Wales,112011240,Byron Bay,2.7,177,6467
New South Wales,112011241,Evans Head,3.0,82,2698
New South Wales,112011242,Lennox Head - Skennars Head,1.2,68,5522
New South Wales,112011243,Mullumbimby,6.7,317,4713
New South Wales,112021244,Casino,6.2,323,5188
New South Wales,112021245,Casino Surrounds,4.6,167,3618
New South Wales,112021246,Goonellabah,3.6,246,6801
New South Wales,112021247,Kyogle,5.7,189,3322
New South Wales,112021248,Lismore,5.9,410,6945
New South Wales,112021249,Lismore Surrounds,3.6,311,8663
New South Wales,112031250,Kingscliff - Fingal Head,2.0,150,7422
New South Wales,112031251,Murwillumbah,4.2,182,4285
New South Wales,112031252,Murwillumbah Surrounds,4.4,237,5328
New South Wales,112031253,Pottsville,2.4,164,6971
New South Wales,112031254,Tweed Heads,3.5,343,9807
New South Wales,112031550,Banora Point,2.4,182,7522
New South Wales,112031551,Terranora - North Tumbulgum,1.5,27,1796
New South Wales,112031552,Tweed Heads South,4.7,156,3332
New South Wales,113011256,Griffith (NSW),2.6,284,10859
New South Wales,113011257,Griffith Surrounds,2.2,157,7173
New South Wales,113011258,Leeton,4.0,194,4899
New South Wales,113011259,Narrandera,6.1,161,2657
New South Wales,113021260,Tumbarumba,2.9,47,1627
New South Wales,113021261,Tumut,3.8,116,3036
New South Wales,113021262,Tumut Surrounds,2.9,70,2388
New South Wales,113031263,Cootamundra,3.3,101,3027
New South Wales,113031264,Gundagai,2.7,49,1803
New South Wales,113031265,Junee,2.9,75,2609
New South Wales,113031266,Temora,3.4,101,2944
New South Wales,113031267,Wagga Wagga - East,3.1,258,8452
New South Wales,113031268,Wagga Wagga - North,1.9,63,3333
New South Wales,113031269,Wagga Wagga - South,4.2,489,11569
New South Wales,113031270,Wagga Wagga - West,5.9,342,5794
New South Wales,113031271,Wagga Wagga Surrounds,1.7,169,9661
New South Wales,114011272,Berry - Kangaroo Valley,1.3,54,4083
New South Wales,114011273,Callala Bay - Currarong,2.7,41,1505
New South Wales,114011274,Culburra Beach,3.0,63,2097
New South Wales,114011276,Huskisson - Vincentia,2.0,44,2252
New South Wales,114011277,North Nowra - Bomaderry,3.3,252,7563
New South Wales,114011278,Nowra,5.6,575,10221
New South Wales,114011279,St Georges Basin - Erowal Bay,4.3,259,6019
New South Wales,114011280,Sussex Inlet - Berrara,5.5,92,1688
New South Wales,114011281,Tomerong - Wandandian - Woollamia,1.8,35,1939
New South Wales,114011282,Ulladulla,3.4,246,7187
New South Wales,114011283,Ulladulla Surrounds,2.5,61,2487
New South Wales,114021284,Bowral,1.1,62,5659
New South Wales,114021285,Hill Top - Colo Vale,1.7,62,3606
New South Wales,114021286,Mittagong,1.2,68,5555
New South Wales,114021287,Moss Vale - Berrima,1.5,84,5480
New South Wales,114021288,Robertson - Fitzroy Falls,0.9,18,2039
New South Wales,114021289,Southern Highlands,0.8,30,3573
New South Wales,115011290,Baulkham Hills - East,4.8,655,13705
New South Wales,115011291,Baulkham Hills (West) - Bella Vista,2.7,359,13307
New South Wales,115011294,Glenhaven,1.8,58,3304
New South Wales,115011296,West Pennant Hills,2.3,161,6998
New South Wales,115011553,Castle Hill - Central,4.6,216,4650
New South Wales,115011554,Castle Hill - East,2.3,58,2496
New South Wales,115011555,Castle Hill - North,4.3,292,6839
New South Wales,115011556,Castle Hill - South,4.2,258,6097
New South Wales,115011557,Castle Hill - West,3.0,95,3141
New South Wales,115011558,Cherrybrook,2.1,221,10385
New South Wales,115011621,Kellyville - East,3.8,391,10393
New South Wales,115011622,Kellyville - West,2.4,198,8164
New South Wales,115021297,Dural - Kenthurst - Wisemans Ferry,4.1,529,12826
New South Wales,115021298,Galston - Laughtondale,3.6,107,2977
New South Wales,115031299,Bilpin - Colo - St Albans,7.8,122,1559
New South Wales,115031300,Kurrajong Heights - Ebenezer,5.1,684,13290
New South Wales,115041301,Pitt Town - McGraths Hill,5.4,375,6981
New South Wales,115041623,Box Hill - Nelson,4.0,533,13319
New South Wales,115041624,North Kellyville,3.5,443,12756
New South Wales,115041625,Rouse Hill - Beaumont Hills,3.7,426,11609
New South Wales,116011303,Blacktown (East) - Kings Park,4.5,496,11094
New South Wales,116011304,Blacktown (North) - Marayong,5.3,626,11802
New South Wales,116011306,Doonside - Woodcroft,5.9,802,13655
New South Wales,116011307,Lalor Park - Kings Langley,3.7,556,14955
New South Wales,116011560,Blacktown - South,5.0,356,7151
New South Wales,116011561,Blacktown - West,5.2,521,10063
New South Wales,116011626,Seven Hills - Prospect,3.4,301,8926
New South Wales,116011627,Toongabbie - West,3.4,243,7107
New South Wales,116021309,Glenwood,1.5,160,10513
New South Wales,116021562,Acacia Gardens,1.6,39,2508
New South Wales,116021563,Quakers Hill,2.2,355,16483
New South Wales,116021628,Kellyville Ridge - The Ponds,1.4,195,14009
New South Wales,116021629,Marsden Park - Shanes Park,1.8,309,16721
New South Wales,116021630,Riverstone,3.2,369,11368
New South Wales,116021631,Schofields (West) - Colebee,1.4,126,9037
New South Wales,116021632,Schofields - East,2.0,465,23825
New South Wales,116021633,Stanhope Gardens - Parklea,1.8,135,7548
New South Wales,116031313,Bidwill - Hebersham - Emerton,17.7,1369,7750
New South Wales,116031314,Glendenning - Dean Park,3.6,179,4933
New South Wales,116031315,Hassall Grove - Plumpton,4.7,599,12817
New South Wales,116031316,Lethbridge Park - Tregear,14.8,1560,10563
New South Wales,116031317,Mount Druitt - Whalan,12.3,1394,11291
New South Wales,116031319,Rooty Hill - Minchinbury,4.6,598,13122
New South Wales,117011320,Banksmeadow,2.5,11,442
New South Wales,117011321,Botany,3.6,289,7997
New South Wales,117011323,Pagewood - Hillsdale - Daceyville,6.5,550,8440
New South Wales,117011634,Eastlakes,10.2,437,4286
New South Wales,117011635,Mascot,3.1,443,14367
New South Wales,117021327,Petersham - Stanmore,6.1,833,13579
New South Wales,117021328,Sydenham - Tempe - St Peters,4.2,231,5486
New South Wales,117021636,Marrickville - North,6.6,501,7645
New South Wales,117021637,Marrickville - South,8.6,727,8442
New South Wales,117031329,Darlinghurst,4.9,404,8301
New South Wales,117031330,Erskineville - Alexandria,3.0,459,15467
New South Wales,117031331,Glebe - Forest Lodge,7.7,1044,13524
New South Wales,117031333,Potts Point - Woolloomooloo,5.5,760,13810
New South Wales,117031336,Surry Hills,5.8,695,12024
New South Wales,117031638,Camperdown - Darlington,2.5,170,6685
New South Wales,117031639,Chippendale,4.9,300,6151
New South Wales,117031640,Newtown (NSW),5.2,558,10811
New South Wales,117031641,Pyrmont,3.7,332,8966
New South Wales,117031642,Redfern,10.7,1040,9751
New South Wales,117031643,Rosebery - Beaconsfield,1.7,152,8949
New South Wales,117031644,Sydney (North) - Millers Point,3.6,217,5982
New South Wales,117031645,Sydney (South) - Haymarket,1.7,255,14761
New South Wales,117031646,Ultimo,2.8,177,6311
New South Wales,117031647,Waterloo,8.5,978,11551
New South Wales,117031648,Zetland,2.0,190,9701
New South Wales,118011339,Bondi - Tamarama - Bronte,2.9,393,13739
New South Wales,118011340,Bondi Beach - North Bondi,2.8,457,16227
New South Wales,118011341,Bondi Junction - Waverly,3.2,405,12462
New South Wales,118011344,Dover Heights,2.9,199,6950
New South Wales,118011345,Paddington - Moore Park,3.4,381,11133
New South Wales,118011346,Rose Bay - Vaucluse - Watsons Bay,2.5,165,6569
New South Wales,118011347,Woollahra,2.9,137,4719
New South Wales,118011649,Bellevue Hill,2.3,216,9366
New South Wales,118011650,Double Bay - Darling Point,2.5,166,6642
New South Wales,118021564,Kensington (NSW),3.1,287,9163
New South Wales,118021565,Kingsford,4.2,426,10136
New South Wales,118021566,Maroubra - North,2.8,171,6058
New South Wales,118021567,Maroubra - South,9.3,612,6572
New South Wales,118021568,Maroubra - West,4.1,267,6553
New South Wales,118021569,Randwick - North,2.8,316,11386
New South Wales,118021570,Randwick - South,3.2,293,9152
New South Wales,118021651,Coogee - Clovelly,2.2,317,14688
New South Wales,118021652,Malabar - La Perouse,8.1,453,5559
New South Wales,118021653,Matraville - Chifley,8.2,629,7655
New South Wales,118021654,South Coogee,11.6,351,3033
New South Wales,119011354,Bass Hill - Georges Hall,10.8,1162,10781
New South Wales,119011355,Chullora,4.0,38,961
New South Wales,119011356,Condell Park,7.7,469,6097
New South Wales,119011358,Padstow,3.8,394,10278
New South Wales,119011360,Revesby,4.7,500,10602
New South Wales,119011361,Yagoona - Birrong,9.1,979,10785
New South Wales,119011571,Bankstown - North,10.0,912,9088
New South Wales,119011572,Bankstown - South,8.5,805,9463
New South Wales,119011655,Greenacre - North,9.8,652,6653
New South Wales,119011656,Greenacre - South,10.6,606,5710
New South Wales,119011657,Panania (North) - Milperra,3.4,235,6854
New South Wales,119011658,Panania (South) - Picnic Point,3.0,301,9946
New South Wales,119021362,Belmore - Belfield,5.1,573,11315
New South Wales,119021366,Punchbowl,8.9,902,10149
New South Wales,119021367,Roselands,4.8,391,8110
New South Wales,119021573,Lakemba,8.7,680,7844
New South Wales,119021574,Wiley Park,7.7,384,5019
New South Wales,119021659,Campsie - North,4.3,294,6878
New South Wales,119021660,Campsie - South,4.8,251,5194
New South Wales,119021661,Canterbury - South,3.3,270,8193
New South Wales,119021662,Earlwood,2.6,282,10869
New South Wales,119021663,Kingsgrove - North,3.6,126,3478
New South Wales,119031370,Narwee - Beverly Hills,4.3,339,7920
New South Wales,119031371,Oatley - Hurstville Grove,1.7,134,8120
New South Wales,119031372,Peakhurst - Lugarno,3.0,376,12559
New South Wales,119031373,Riverwood,8.5,551,6467
New South Wales,119031374,South Hurstville - Blakehurst,2.2,370,17157
New South Wales,119031664,Hurstville - Central,2.2,215,9693
New South Wales,119031665,Hurstville - North,3.6,266,7464
New South Wales,119031666,Mortdale - Oatley,2.0,204,10021
New South Wales,119031667,Penshurst,2.9,191,6634
New South Wales,119041377,Kingsgrove (South) - Bardwell Park,3.0,239,7972
New South Wales,119041378,Kogarah,1.8,188,10580
New South Wales,119041379,Kogarah Bay - Carlton - Allawah,2.3,254,11267
New South Wales,119041380,Monterey - Brighton-le-Sands - Kyeemagh,3.8,317,8397
New South Wales,119041381,Rockdale - Banksia,2.3,356,15729
New South Wales,119041382,Sans Souci - Ramsgate,2.6,265,10310
New South Wales,119041668,Arncliffe - Bardwell Valley,3.2,363,11499
New South Wales,119041669,Bexley - North,4.0,227,5712
New South Wales,119041670,Bexley - South,3.0,315,10448
New South Wales,119041671,Wolli Creek,0.9,96,10248
New South Wales,120011383,Concord - Mortlake - Cabarita,2.6,344,13336
New South Wales,120011385,Drummoyne - Rodd Point,2.2,251,11398
New South Wales,120011386,Five Dock - Abbotsford,2.9,361,12394
New South Wales,120011672,Concord West - North Strathfield,3.2,251,7850
New South Wales,120011673,Rhodes,2.3,194,8525
New South Wales,120021387,Balmain,2.9,286,9877
New South Wales,120021389,Lilyfield - Rozelle,4.9,434,8947
New South Wales,120021674,Annandale (NSW),4.1,270,6572
New South Wales,120021675,Leichhardt,4.3,499,11677
New South Wales,120031392,Canterbury (North) - Ashbury,4.4,312,7171
New South Wales,120031393,Croydon Park - Enfield,5.0,481,9547
New South Wales,120031394,Dulwich Hill - Lewisham,5.0,615,12393
New South Wales,120031395,Haberfield - Summer Hill,3.6,317,8690
New South Wales,120031396,Homebush,3.5,514,14867
New South Wales,120031576,Strathfield South,5.1,104,2056
New South Wales,120031676,Ashfield - North,4.7,375,7979
New South Wales,120031677,Ashfield - South,6.0,445,7453
New South Wales,120031678,Burwood (NSW),3.3,348,10535
New South Wales,120031679,Croydon,4.4,270,6171
New South Wales,120031680,Strathfield - East,2.3,280,11942
New South Wales,120031681,Strathfield - West,3.0,148,4973
New South Wales,121011399,Chatswood (West) - Lane Cove North,4.4,629,14184
New South Wales,121011401,St Leonards - Naremburn,3.4,313,9267
New South Wales,121011682,Artarmon,4.8,281,5842
New South Wales,121011683,Castle Cove - Northbridge,2.8,197,7047
New South Wales,121011684,Chatswood - East,5.5,635,11605
New South Wales,121011685,Greenwich - Riverview,3.1,239,7706
New South Wales,121011686,Lane Cove,4.7,467,9990
New South Wales,121011687,Willoughby,5.1,368,7254
New South Wales,121021403,Asquith - Mount Colah,7.0,936,13419
New South Wales,121021404,Berowra - Brooklyn - Cowan,4.4,296,6660
New South Wales,121021406,Normanhurst - Thornleigh - Westleigh,5.5,600,10813
New South Wales,121021577,Hornsby - East,8.7,675,7764
New South Wales,121021578,Hornsby - West,8.5,492,5759
New South Wales,121021579,Wahroonga (West) - Waitara,6.3,421,6675
New South Wales,121031407,Gordon - Killara,3.9,492,12624
New South Wales,121031408,Lindfield - Roseville,3.0,407,13770
New South Wales,121031409,Pymble,3.5,345,9825
New South Wales,121031410,St Ives,3.9,437,11259
